gender,income,criminals,diffrace,leftwings,alcoholics,rightwings,manykids,neurotics,muslims,imigrants,aids,addicts,homoseksuals,jews,gypsies,age,edu,id
2,650000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,43,1,109
2,400000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,64,1,110
1,350000,0,0,0,0,1,0,0,0,0,0,1,1,0,1,65,1,111
1,550000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,63,3,112
1,950000,1,0,1,1,1,0,0,0,0,0,1,0,0,0,32,2,113
2,140000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,40,1,114
1,500000,0,0,0,1,1,0,0,0,0,0,1,0,0,0,31,3,115
1,380000,1,0,0,0,1,0,1,1,0,0,1,0,0,0,23,3,116
1,400000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,68,4,117
1,700000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,36,2,118
2,125000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,36,3,119
2,450000,0,0,0,1,0,0,1,0,0,0,1,0,0,0,48,3,120
1,40000,0,0,0,1,0,1,0,0,0,0,1,0,0,0,20,2,121
1,500000,0,0,0,1,1,0,1,0,0,0,1,0,0,0,40,4,122
2,390000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,123
2,895000,1,0,0,1,0,0,0,0,0,0,1,0,0,0,34,3,124
2,156000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,52,0,125
2,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,126
2,3000000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,40,4,127
1,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1,128
1,450000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,20,0,129
1,200000,0,0,0,1,0,0,0,1,0,0,1,0,0,0,18,0,130
2,550000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,131
2,650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,3,132
1,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,133
2,440000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3,134
2,400000,1,0,0,0,0,0,0,0,0,0,1,0,0,1,43,2,135
1,450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,136
1,420000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,0,137
1,190000,1,0,0,1,0,0,0,0,0,0,1,1,0,0,57,2,138
2,500000,1,0,0,1,0,0,0,0,0,0,1,0,0,0,32,1,139
1,350000,1,0,1,1,0,0,1,0,0,0,1,0,0,0,64,3,140
1,550000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,2,141
2,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,142
2,650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,3,143
2,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,144
1,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1,145
1,200009,0,0,0,1,0,0,0,0,0,0,1,0,0,1,49,1,146
2,600000,1,0,0,1,0,0,0,0,0,0,1,0,0,0,39,3,147
2,400000,0,0,0,0,0,0,0,1,1,0,0,0,0,1,25,0,148
1,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,149
1,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,150
2,260000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,151
2,95000,1,0,1,1,0,1,1,1,1,1,1,1,0,1,68,0,152
2,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,153
1,130000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61,3,154
1,500000,1,0,0,1,1,0,1,1,0,0,1,1,0,0,50,0,155
